Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.0317780024555155,-0.0416290302039092,-4.84322725841584E-09,0,0,0,0.099913253768249,5.26894904194742E-05,-4.91617233346469E-06,-2.12615653369078E-11,6.1865203895909E-05,-3.44716620593123E-11,0.000110769106983496,0,0,0,0,0,0,package://Assemblage1/meshes/body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assemblage1/meshes/body.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
MoP,-0.00293220937857835,0.00632546796877385,-1.45520032557199E-17,0,0,0,0.00255919241298572,1.46637612238249E-07,3.30027530868883E-08,4.36834348772607E-24,9.07415094954518E-08,-2.29638710034628E-23,1.86963684362792E-07,0,0,0,0,0,0,package://Assemblage1/meshes/MoP.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assemblage1/meshes/MoP.STL,,Move_Pinky-1,Origin_P0,Axis_P0,P0,revolute,-0.061489,0,0.0010762,1.5708,0.28599,0,body,0,0,1,0,0,0,0,,,,,,,,
BP,-0.0084113336029166,0.0181452326251401,-3.42607886505419E-17,0,0,0,0.0038735397861954,5.28071050490407E-07,2.12422682141576E-07,-2.34092113352507E-22,1.68295002879297E-07,1.83634095986772E-22,6.33161083366812E-07,0,0,0,0,0,0,package://Assemblage1/meshes/BP.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assemblage1/meshes/BP.STL,,Bottom_Pinky-1,Origin_P1,Axis_P1,P1,revolute,-0.0073599,0.015877,0,0.084794,0.03924,0.0016649,MoP,0.90726,0.42057,0,0,0,0,0,,,,,,,,
MP,-0.00420380391442909,0.00897896333031706,3.99820593299793E-11,0,0,0,0.00237109569304739,1.28381625801957E-07,2.73818544101998E-08,1.47144251627205E-16,8.5271339251763E-08,-2.69810152705628E-16,1.75566459338251E-07,0,0,0,0,0,0,package://Assemblage1/meshes/MP.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assemblage1/meshes/MP.STL,,Mid_Pinky-1,Origin_P2,Axis_P2,P2,revolute,-0.016823,0.03629,0,0.37611,0.16865,0.032168,BP,0.90726,0.42057,0,0,0,0,0,,,,,,,,
EP,-0.00331864433873978,0.00715916547211324,0.000107037810905417,0,0,0,0.00158516331078646,6.32795292840303E-08,1.69330066509074E-08,3.68775388961158E-10,3.45969358532547E-08,-7.94913043760575E-10,7.6046113606227E-08,0,0,0,0,0,0,package://Assemblage1/meshes/EP.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assemblage1/meshes/EP.STL,,End_Pinky-1,Origin_P3,Axis_P3,P3,revolute,-0.0084113,0.018145,0,0.58262,0.24973,0.075235,MP,0.90726,0.42057,0,0,0,0,0,,,,,,,,
MoR,-0.00293220937857833,0.00632546796877384,4.91378912611739E-17,0,0,0,0.00255919241298572,1.46637612238249E-07,3.30027530868887E-08,1.99080074695055E-23,9.0741509495452E-08,1.46054870935857E-23,1.86963684362793E-07,0,0,0,0,0,0,package://Assemblage1/meshes/MoR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assemblage1/meshes/MoR.STL,,Move_Ring-1,Origin_R0,Axis_R0,R0,revolute,-0.038156,0,0.0010762,1.5708,0.43367,0,body,0,0,1,0,0,0,0,,,,,,,,
BR,-0.00841133360291669,0.01814523262514,-1.05818132034585E-16,0,0,0,0.0038735397861954,5.28071050490406E-07,2.12422682141575E-07,1.19941188820189E-22,1.68295002879296E-07,5.93915679813074E-22,6.33161083366809E-07,0,0,0,0,0,0,package://Assemblage1/meshes/BR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assemblage1/meshes/BR.STL,,Bottom_Ring-1,Origin_R1,Axis_R1,R1,revolute,-0.0073599,0.015877,0,0.18212,0.083759,0.0076525,MoR,0.90726,0.42057,0,0,0,0,0,,,,,,,,
MR,-0.00511106554568592,0.00855839665017134,3.9982080146661E-11,0,0,0,0.00237109569304739,1.28381625801953E-07,2.73818544102003E-08,1.47144871185484E-16,8.5271339251762E-08,-2.69810043517787E-16,1.75566459338247E-07,0,0,0,0,0,0,package://Assemblage1/meshes/MR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assemblage1/meshes/MR.STL,,Mid_Ring-1,Origin_P22,Axis_P22,R2,revolute,-0.016823,0.03629,0,0.28269,0.12859,0.018322,BR,0.90726,0.42057,0,0,0,0,0,,,,,,,,
ER,-0.00422591555438051,0.00673860644655273,0.000107034349140913,0,0,0,0.00158516503814541,6.32794906351526E-08,1.69331692425388E-08,3.68762244765979E-10,3.45969451339538E-08,-7.94871995175647E-10,7.60462532418065E-08,0,0,0,0,0,0,package://Assemblage1/meshes/ER.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assemblage1/meshes/ER.STL,,End_Ring-1,Origin_P32,Axis_P32,R3,revolute,-0.0084113,0.018145,0,-0.13162,-0.060764,0.004006,MR,0.90726,0.42057,0,0,0,0,0,,,,,,,,
MoM,-0.00293220937857834,0.00632546796877383,-1.45472119467669E-17,0,0,0,0.00255919241298571,1.46637612238249E-07,3.30027530868881E-08,1.07828210437865E-23,9.07415094954515E-08,4.18519976445112E-23,1.86963684362793E-07,0,0,0,0,0,0,package://Assemblage1/meshes/MoM.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Assemblage1/meshes/MoM.STL,,Move_Middle-1,Origin_M0,Axis_M0,M0,revolute,-0.014823,0,0.0010762,1.5708,0.46822,0,body,0,0,1,0,0,0,0,,,,,,,,
